question,topic,intent,difficulty,answer
Help me understand dictionary,Python Basics,dictionary,Beginner,A dictionary stores key-value pairs. Created with curly braces {}. Keys must be unique and immutable. Provides O(1) average-case lookup time.
Why do we use derivative?,Mathematics for AI,derivative,Beginner,Rate of change of function. Used in gradient descent to minimize loss. Computed via backpropagation in neural networks.
Why do we use named entity recognition?,Natural Language Processing,named entity recognition,Intermediate,"Identifying and classifying named entities (person, organization, location). Used in information extraction, question answering."
Please tell me about enumerate,Python Basics,enumerate,Beginner,"Returns index and value when iterating. for i, item in enumerate(my_list). Start index can be specified: enumerate(my_list, start=1)."
Explain suffix array,Data Structures,suffix array,Advanced,Sorted array of all suffixes of a string. More space-efficient than suffix tree. Used in pattern matching.
I want to learn about classmethod,Python Programming,classmethod,Intermediate,A method that receives the class as implicit first argument. Defined with @classmethod. Can be called on class or instances.
I want to learn about counting sort,Algorithms,counting sort,Intermediate,Non-comparison sort for integers in limited range. Counts occurrences of each value. O(n+k) time where k is range.
Explain topological sort,Algorithms,topological sort,Intermediate,Linear ordering of directed acyclic graph vertices. Vertex u comes before v if edge u→v exists. Uses DFS or Kahn's algorithm.
Could you explain profiling to me?,Performance Optimization,profiling,Advanced,"Analyzing performance bottlenecks. Identifies slow code sections. Tools: Chrome DevTools, Python cProfile, Java VisualVM."
Tell me about interpretability,Machine Learning,interpretability,Advanced,"Understanding why model makes predictions. Methods: SHAP values, LIME, feature importance, partial dependence plots. Important for trust and debugging."
IAM definition,Cloud Computing,IAM,Intermediate,"Identity and Access Management controls who can access resources. Users, groups, roles, policies. Principle of least privilege."
paging definition,Operating Systems,paging,Intermediate,Dividing memory into fixed-size pages. Eliminates external fragmentation. Page table maps virtual to physical addresses.
Explain software testing,Software Testing,software testing,Intermediate,"Evaluating software to find defects. Ensures quality, correctness. Types: unit, integration, system, acceptance. Can be manual or automated."
I want to learn about loss function,Deep Learning,loss function,Beginner,Measures difference between predictions and actual values. Regression: MSE. Classification: cross-entropy. Optimization minimizes loss.
Tell me about Prim's algorithm,Algorithms,Prim's algorithm,Intermediate,Finds minimum spanning tree. Grows tree one edge at a time. O(E log V) with priority queue.
How can I use Kruskal's algorithm?,Algorithms,Kruskal's algorithm,Intermediate,Finds minimum spanning tree by sorting edges by weight and adding if no cycle. Uses Union-Find. O(E log E) time.
Describe load balancing,Performance Optimization,load balancing,Advanced,"Distributing traffic across servers. Improves availability and performance. Algorithms: round-robin, least connections. Hardware or software-based."
Explain SMOTE,Machine Learning,SMOTE,Advanced,Synthetic Minority Over-sampling Technique creates synthetic examples by interpolating between minority class instances. Addresses class imbalance.
Why do we use derivative?,Mathematics for AI,derivative,Beginner,Rate of change of function. Used in gradient descent to minimize loss. Computed via backpropagation in neural networks.
Explain hyperparameter tuning,Machine Learning,hyperparameter tuning,Advanced,"Optimizing hyperparameters (not learned from data). Methods: grid search (exhaustive), random search, Bayesian optimization, genetic algorithms. Use cross-validation."
I want to learn about hierarchical clustering,Machine Learning,hierarchical clustering,Intermediate,Builds tree of clusters. Agglomerative (bottom-up) or divisive (top-down). Doesn't require k specification. Results in dendrogram.
Explain how gitignore works,Git & Version Control,gitignore,Intermediate,".gitignore file specifies untracked files to ignore. Excludes build artifacts, secrets, dependencies. Patterns support wildcards."
hash table definition,Data Structures,hash table,Beginner,Stores key-value pairs using hash function. O(1) average-case operations. Handles collisions with chaining or open addressing.
How does Bootstrap work?,Web Development,Bootstrap,Intermediate,"CSS framework for responsive design. Pre-built components: grid system, buttons, forms. Speeds up development. Widely used."
Help me understand random forest,Machine Learning,random forest,Intermediate,Ensemble of decision trees. Each tree trains on random subset of data and features. Predictions are averaged (regression) or voted (classification). Reduces overfitting.
Tell me about counting sort,Algorithms,counting sort,Intermediate,Non-comparison sort for integers in limited range. Counts occurrences of each value. O(n+k) time where k is range.
Help me understand Scrum,Software Engineering,Scrum,Intermediate,"Agile framework with defined roles and ceremonies. Roles: Product Owner, Scrum Master, Dev Team. Ceremonies: Sprint Planning, Daily Standup, Sprint Review, Retrospective."
Tell me about logistic regression,Machine Learning,logistic regression,Intermediate,Classification algorithm despite name. Uses sigmoid function to output probabilities. Linear decision boundary. Used for binary classification.
Tell me about memory management,Python Programming,memory management,Advanced,Python uses reference counting and garbage collection. Objects are freed when reference count reaches zero. Circular references handled by GC.
descriptor definition,Python Programming,descriptor,Advanced,"An object that defines __get__, __set__, or __delete__ methods. Controls attribute access. Used to implement properties and methods."
I want to learn about time series forecasting,Machine Learning,time series forecasting,Advanced,"Predicting future values based on temporal data. Methods: ARIMA, exponential smoothing, LSTM networks. Considers trends, seasonality, autocorrelation."
Can you explain what model is?,Machine Learning,model,Beginner,"A mathematical representation that makes predictions. Learned from training data. Can be linear regression, neural network, decision tree, etc."
Help me understand singly linked list,Data Structures,singly linked list,Beginner,Each node points to the next node. Traversal is unidirectional. Last node points to null.
Tell me about autoencoder,Deep Learning,autoencoder,Advanced,"Neural network that learns compressed representation. Encoder compresses input to latent space, decoder reconstructs. Used for dimensionality reduction, denoising."
